#    p_error     i_error     d_error   max_error       speed     control
      0.8251     381.996     -0.1445      3.2288     30.2105    0.445939
      0.7125     382.708     -0.1126      3.2288     30.4217    0.439185
      0.5891     383.297     -0.1234      3.2288     30.6903    0.459239
       0.482     383.779     -0.1071      3.2288     30.9502     0.46124
      0.5379     384.317      0.0559      3.2288     31.2776    0.357291
      0.7216     385.039      0.1837      3.2288       31.56    0.260404
      0.8993     385.938      0.1777      3.2288     31.6919    0.244457
       1.016     386.954      0.1167      3.2288     31.6634     0.26822
      1.0972     388.051      0.0812      3.2288     31.6061    0.280588
      1.1135     389.165      0.0163      3.2288     31.5973    0.317735
      1.0605     390.225      -0.053      3.2288     31.6136    0.365145
      1.0638     391.289      0.0033      3.2288     31.6812    0.331002
      1.2709      392.56      0.2071      3.2288      31.838    0.185941
      1.3675     393.928      0.0966      3.2288     31.9012    0.241615
      1.4494     395.377      0.0819      3.2288     31.7156    0.241426
      1.4333      396.81     -0.0161      3.2288     31.6684    0.301997
      1.3141     398.124     -0.1192      3.2288     31.6176    0.376969
      1.1668     399.291     -0.1473      3.2288     31.6514    0.410032
      0.9423     400.234     -0.2245      3.2288      31.798    0.481047
      0.6812     400.915     -0.2611      3.2288     31.9961    0.531728
      0.4016     401.316     -0.2796      3.2288      32.282    0.573584
      0.6378     401.954      0.2362      3.2288     32.6992    0.238122
      1.1467     403.101      0.5089      3.2288     33.0418    0.018523
      1.7258     404.827      0.5791      3.2288     32.8982   -0.087298
      2.1771     407.004      0.4513      3.2288     32.3022   -0.060261
      2.4333     409.437      0.2562      3.2288     30.1531    0.028617
      2.4909     411.928      0.0576      3.2288     27.9488    0.141441
      2.4198     414.348     -0.0711      3.2288     26.5771    0.226482
      2.2332     416.581     -0.1866      3.2288     26.5224    0.316308
      1.9641     418.545     -0.2691      3.2288     26.5385    0.395409
      1.6995     420.245     -0.2646      3.2288     26.6441    0.421815
      1.2837     421.528     -0.4158      3.2288     26.9225    0.558273
      0.9617      422.49      -0.322      3.2288     27.1536    0.537413
      0.5076     422.998     -0.4541      3.2288     27.6674    0.666624
      0.3996     423.397      -0.108      3.2288     27.9633    0.470844
      0.7845     424.182      0.3849      3.2288     28.6428    0.132765
      1.1659     425.348      0.3814      3.2288     28.9271    0.092911
      1.5523       426.9      0.3864      3.2288     28.5431    0.047407
       1.831     428.731      0.2787      3.2288     28.1439     0.08137
      1.9051     430.636      0.0741      3.2288     27.7943    0.195979
      1.8278     432.464     -0.0773      3.2288      27.549    0.295322
      1.6656     434.129     -0.1622      3.2288     27.5052    0.364104
      1.3836     435.513      -0.282      3.2288     27.6038    0.467004
      1.0914     436.604     -0.2922      3.2288     27.7604    0.505266
       0.625     437.229     -0.4664      3.2288     28.1398     0.66109
      0.1872     437.417     -0.4378      3.2288     28.5217    0.692088
      0.1841     437.601     -0.0031      3.2288     28.9772    0.431609
       0.684     438.285      0.4999      3.2288      29.712     0.07482
      0.8613     439.146      0.1773      3.2288     29.9715    0.248877
      0.8624     440.008      0.0011      3.2288     29.6914    0.354476
      0.8293     440.838     -0.0331      3.2288     29.6487    0.378637
      0.7988     441.636     -0.0305      3.2288     29.7451    0.380432
      0.8005     442.437      0.0017      3.2288     29.9045    0.360925
      0.8438     443.281      0.0433      3.2288     30.0785    0.331202
      0.9305     444.211      0.0867      3.2288     30.2334    0.295625
       1.022     445.233      0.0915      3.2288     30.3299     0.28268
      0.8311     446.064     -0.1909      3.2288     30.4017    0.473119
      0.6714     446.736     -0.1597      3.2288      30.434    0.471966
      0.5305     447.266     -0.1409      3.2288     30.6496    0.476185
      0.4679     447.734     -0.0626      3.2288     30.9338    0.436091
      0.4881     448.222      0.0202      3.2288     31.2308    0.384189
      0.5879      448.81      0.0998      3.2288     31.4875    0.325451
      0.7539     449.564       0.166      3.2288     31.6711    0.267471
      0.9289     450.493       0.175      3.2288     31.7522    0.242821
      1.1606     451.654      0.2317      3.2288     31.7556    0.183314
      1.4388     453.092      0.2782      3.2288     31.7107    0.124812
       1.663     454.755      0.2242      3.2288     31.5869     0.13255
      1.5987     456.354     -0.0643      3.2288     31.3728    0.312723
      1.3882     457.742     -0.2105      3.2288     31.2054    0.423598
      1.1268     458.869     -0.2614      3.2288     31.2182    0.482892
      0.8977     459.767     -0.2291      3.2288     31.3785    0.488713
      0.7317     460.498      -0.166      3.2288      31.641    0.469113
       0.634     461.132     -0.0977      3.2288     32.0419     0.43888
      0.6407     461.773      0.0067      3.2288     32.2351    0.375503
       0.732     462.505      0.0913      3.2288     32.5235      0.3147
      0.8754     463.381      0.1434      3.2288     32.6829    0.267666
       1.053     464.434      0.1776      3.2288     32.7453     0.22761
      1.2411     465.675      0.1881      3.2288     32.7333    0.200619
      1.3904     467.065      0.1493      3.2288      32.672    0.207476
      1.3619     468.427     -0.0285      3.2288     32.5383    0.317291
      1.0603     469.487     -0.3016      3.2288     32.4177    0.514327
      0.7827      470.27     -0.2776      3.2288     32.4512    0.530463
      0.5397      470.81      -0.243      3.2288     32.6753    0.536433
      0.3679     471.178     -0.1718      3.2288     33.0031    0.512611
      0.2791     471.457     -0.0888      3.2288     33.3568    0.472579
       0.276     471.733     -0.0031      3.2288     33.6918      0.4215
      0.3707     472.103      0.0947      3.2288     34.0184    0.352403
      0.4912     472.595      0.1205      3.2288     34.1916    0.323668
       0.733     473.328      0.2418      3.2288     34.3207     0.22429
      0.8827      474.21      0.1497      3.2288     34.3694    0.263083
      0.8081     475.018     -0.0746      3.2288      34.266    0.405869
      0.6969     475.715     -0.1112      3.2288     34.2151    0.440061
      0.5777     476.293     -0.1192      3.2288     34.3358    0.457973
      0.4787     476.772      -0.099      3.2288     34.5298    0.456743
      0.4139     477.186     -0.0648      3.2288     34.7554    0.443351
      0.3709     477.556      -0.043      3.2288     34.9472    0.435001
      0.1731      477.73     -0.1978      3.2288     35.1613    0.549639
      0.0182     477.748     -0.1549      3.2288     35.3929    0.540938
      0.1288     477.877      0.1106      3.2288     35.7537    0.369472
      0.1376     478.014      0.0088      3.2288     36.0249    0.429584
      0.0899     478.104     -0.0477      3.2288     36.1641    0.468731
      0.0729     478.177      -0.017      3.2288     36.3027    0.452181
      0.0046     478.182     -0.0683      3.2288     36.5286    0.490474
      0.1077     478.289      0.1031      3.2288     36.7371    0.376293
      0.2548     478.544      0.1471      3.2288     36.9876    0.333712
      0.3096     478.854      0.0548      3.2288     37.0698    0.383064
      0.2899     479.144     -0.0197      3.2288     37.1044    0.429931
      0.2682     479.412     -0.0217      3.2288     37.1911    0.433518
      0.2555     479.667     -0.0127      3.2288      37.367    0.429515
      0.2664     479.934      0.0109      3.2288     37.5311    0.414156
      0.3015     480.235      0.0351      3.2288     37.6907    0.395775
      0.3599     480.595      0.0584      3.2288     37.8296    0.375371
      0.4202     481.015      0.0603      3.2288     37.9231    0.367598
      0.3621     481.377     -0.0581      3.2288     38.0036    0.445029
      0.2927      481.67     -0.0694      3.2288     38.0796    0.459443
      0.2525     481.923     -0.0402      3.2288     38.2026    0.446345
      0.2307     482.153     -0.0218      3.2288     38.4193    0.437703
      0.0444     482.198     -0.1863      3.2288     38.7541    0.556896
      0.0203     482.218     -0.0241      3.2288     38.8843    0.462227
      0.0437     482.262      0.0234      3.2288     39.1505    0.431153
      0.0032     482.265     -0.0405      3.2288     39.3573    0.473948
      0.1103     482.375      0.1071      3.2288     39.5047    0.373607
      0.2929     482.668      0.1826      3.2288      39.729    0.308221
       0.475     483.143      0.1821      3.2288     39.7998     0.28849
      0.5546     483.698      0.0796      3.2288     39.7572    0.341234
      0.5728      484.27      0.0182      3.2288     39.6797    0.376072
       0.561     484.831     -0.0118      3.2288     39.6726     0.39537
      0.5252     485.357     -0.0358      3.2288     39.7203    0.413708
      0.4822     485.839      -0.043      3.2288     39.7982    0.422758
      0.2922     486.131       -0.19      3.2288     39.9013    0.531858
      0.0921     486.223     -0.2001      3.2288     40.0384    0.559929
      0.0243     486.247     -0.0678      3.2288     40.2201    0.488007
      0.1066     486.354      0.0823      3.2288     40.5535    0.388894
      0.0907     486.445     -0.0159      3.2288     40.7742    0.449563
      0.0026     486.447     -0.0881      3.2288     40.8568    0.502574
      0.1303     486.578      0.1277      3.2288     40.9678    0.359047
      0.3186     486.896      0.1883      3.2288     41.1754    0.301974
      0.5194     487.416      0.2008      3.2288     41.2148    0.272386
      0.6971     488.113      0.1777      3.2288     41.1291    0.266699
      0.7012     488.814      0.0041      3.2288     41.0301    0.370408
       0.613     489.427     -0.0882      3.2288     40.8608     0.43549
      0.5039     489.931     -0.1091      3.2288     40.8642    0.460031
      0.3506     490.281     -0.1533      3.2288     40.9675    0.503414
      0.1889      490.47     -0.1617      3.2288     41.1158    0.526241
      0.0442     490.514     -0.1447      3.2288      41.316    0.531958
      0.2014     490.716      0.1572      3.2288      41.512    0.333526
      0.3063     491.022      0.1049      3.2288        41.7    0.353367
      0.3463     491.368        0.04      3.2288     41.7004    0.387907
      0.2806     491.649     -0.0657      3.2288     41.6921    0.458554
      0.1316     491.781      -0.149      3.2288      41.734    0.524924
      0.0778     491.858     -0.0538      3.2288     41.8673    0.473722
      0.2713      492.13      0.1935      3.2288     42.0476    0.304057
        0.45      492.58      0.1787      3.2288     42.2337     0.29328
      0.5443     493.124      0.0943      3.2288     42.1826    0.333547
       0.578     493.702      0.0337      3.2288     42.0822      0.3662
      0.5484      494.25     -0.0296      3.2288     42.0379    0.407436
      0.4659     494.716     -0.0825      3.2288      42.044    0.448251
      0.3472     495.064     -0.1187      3.2288     42.1056    0.483028
       0.188     495.252     -0.1592      3.2288      42.243     0.52484
      0.1238     495.375     -0.0642      3.2288     42.4069    0.474902
      0.3596     495.735      0.2358      3.2288     42.5843    0.268964
      0.5897     496.325      0.2301      3.2288     42.7116    0.247073
      0.6559     496.981      0.0662      3.2288     42.6025    0.338131
       0.509      497.49     -0.1469      3.2288     42.3867     0.48215
      0.2233     497.713     -0.2857      3.2288     42.3379    0.596857
      0.0791     497.792     -0.1442      3.2288     42.4403    0.527819
      0.4559     498.248      0.3768      3.2288      42.707    0.173771
      0.7939     499.042       0.338      3.2288     42.9242    0.159871
      1.0379      500.08       0.244      3.2288      42.669    0.189431
      1.0528     501.132      0.0149      3.2288     42.3401    0.325252
      0.8778      502.01      -0.175      3.2288     42.0751    0.458442
      0.5803     502.591     -0.2975      3.2288     42.0015    0.564667
      0.2811     502.872     -0.2992      3.2288     42.0713    0.598599
      0.1315     503.003     -0.1496      3.2288     42.3344    0.525295
      0.4238     503.427      0.2923      3.2288     42.6371    0.228002
      0.6006     504.028      0.1768      3.2288     42.8069    0.277854
      0.6243     504.652      0.0237      3.2288     42.6596    0.367107
      0.4979      505.15     -0.1264      3.2288     42.5256    0.471071
      0.2621     505.412     -0.2358      3.2288     42.5189    0.562649
      0.0342     505.446     -0.2279      3.2288     42.6441    0.582978
      0.1999     505.646      0.1657      3.2288     42.8829    0.328591
      0.4086     506.055      0.2087      3.2288      43.176    0.279834
      0.5598     506.614      0.1512      3.2288     43.1633    0.297702
      0.6296     507.244      0.0698      3.2288     43.0371    0.338864
      0.6097     507.854     -0.0199      3.2288     42.9306    0.394873
      0.5065      508.36     -0.1032      3.2288     42.8846    0.456205
      0.3402       508.7     -0.1663      3.2288     42.9155    0.512358
      0.1067     508.807     -0.2335      3.2288     43.0477    0.578363
      0.1426      508.95      0.0359      3.2288     43.2324    0.412774
      0.4058     509.355      0.2632      3.2288      43.494    0.247442
       0.607     509.962      0.2012      3.2288     43.5739     0.26251
      0.6535     510.616      0.0465      3.2288     43.4042    0.350215
      0.5665     511.182      -0.087      3.2288      43.233    0.439885
      0.4015     511.584      -0.165      3.2288     43.1951    0.504835
      0.1291     511.713     -0.2724      3.2288     43.2759    0.599239
       0.182     511.895      0.0529      3.2288     43.4464     0.39824
      0.4321     512.327      0.2501      3.2288     43.6697    0.252409
       0.604     512.931      0.1719      3.2288     43.7139     0.28042
      0.6191      513.55      0.0151      3.2288     43.5908    0.372839
      0.5156     514.066     -0.1035      3.2288     43.4276    0.455384
       0.328     514.394     -0.1876      3.2288     43.4127     0.52648
      0.0894     514.483     -0.2386      3.2288     43.5084    0.583326
      0.1544     514.638       0.065      3.2288     43.6956    0.394016
      0.3576     514.995      0.2032      3.2288     43.9584    0.288744
      0.4917     515.487      0.1341      3.2288     44.0081    0.315453
       0.513         516      0.0213      3.2288     43.8962     0.38079
      0.5046     516.505     -0.0084      3.2288     43.8031    0.399534
       0.406     516.911     -0.0986      3.2288     43.8023      0.4645
      0.2313     517.142     -0.1747      3.2288     43.8382    0.529377
      0.0065     517.148     -0.2248      3.2288     43.9522    0.584165
      0.2307     517.379      0.2242      3.2288      44.149    0.290103
        0.44     517.819      0.2093      3.2288     44.4168     0.27602
      0.5847     518.404      0.1447      3.2288       44.34    0.298863
      0.6363      519.04      0.0516      3.2288     44.1309    0.349047
      0.5779     519.618     -0.0584      3.2288     44.0304    0.421471
      0.2816       519.9     -0.2963      3.2288     43.9777    0.596804
      0.0567     519.956     -0.2249      3.2288     44.0155    0.578703
      0.5218     520.478      0.4651      3.2288     44.2713    0.113542
      0.8387     521.317      0.3169      3.2288      44.507    0.167603
      1.0035      522.32      0.1648      3.2288     44.1097    0.240735
